N,P,K,temperature,humidity,ph,rainfall,label,state
56.78,47.75,23.46,21.96,64.77,5.83,94.22,maize,Madhya Pradesh
68.79,32.83,24.08,22.26,62.84,5.84,122.92,maize,Telangana
56.45,39.14,34.0,24.41,69.44,6.52,144.95,maize,Bihar
51.0,44.72,27.93,21.21,68.94,5.61,88.8,maize,Karnataka
70.23,30.8,39.44,23.77,66.36,6.21,144.48,maize,Madhya Pradesh
54.21,40.5,36.82,26.3,67.31,7.19,111.44,maize,Andhra Pradesh
55.99,34.16,35.32,20.26,74.36,7.32,147.3,maize,Karnataka
63.01,43.77,34.75,20.67,68.19,6.22,120.67,maize,Madhya Pradesh
54.51,48.66,37.65,29.02,65.72,5.65,124.95,maize,Bihar
69.15,45.39,38.53,24.87,65.55,5.61,97.79,maize,Bihar
78.04,58.39,76.75,30.45,58.17,6.42,76.31,cotton,Telangana
73.29,42.88,68.57,34.28,69.3,7.69,80.81,cotton,Telangana
79.98,58.22,66.38,34.02,68.82,6.23,62.01,cotton,Gujarat
73.37,56.05,79.97,32.77,66.52,7.79,77.53,cotton,Gujarat
96.98,42.02,65.93,33.53,62.55,7.49,98.62,cotton,Maharashtra
84.92,52.05,68.15,27.0,65.83,6.81,77.47,cotton,Punjab
86.27,55.71,68.68,30.83,67.56,6.06,63.14,cotton,Punjab
81.84,43.57,72.92,34.58,60.15,7.13,71.49,cotton,Maharashtra
99.13,54.4,79.69,25.93,56.43,7.53,95.07,cotton,Andhra Pradesh
89.22,59.27,79.98,25.94,63.17,7.11,94.5,cotton,Punjab
70.11,47.18,79.4,33.72,58.73,6.28,68.3,cotton,Andhra Pradesh
99.63,55.32,73.99,31.06,62.89,7.46,80.3,cotton,Maharashtra
74.97,55.5,78.66,29.88,66.92,6.39,97.48,cotton,Maharashtra
88.17,40.04,60.0,29.27,54.62,6.91,60.42,cotton,Gujarat
92.02,50.13,64.53,34.18,61.1,6.46,78.92,cotton,Punjab
88.76,49.7,62.44,34.85,62.7,6.86,90.66,cotton,Telangana
88.51,55.36,69.43,33.86,56.91,7.05,65.32,cotton,Gujarat
79.27,59.45,60.07,27.83,57.76,7.29,99.63,cotton,Telangana
86.31,57.35,68.67,26.32,53.02,6.75,62.46,cotton,Gujarat
86.18,44.16,71.66,32.97,58.04,6.75,94.32,cotton,Gujarat
88.31,59.25,60.05,31.34,56.95,6.52,61.42,cotton,Telangana
72.6,53.06,66.4,26.22,52.21,7.59,82.09,cotton,Andhra Pradesh
70.6,44.38,64.49,30.53,66.6,6.74,92.94,cotton,Telangana
88.34,42.53,73.84,30.37,53.03,6.98,86.79,cotton,Maharashtra
91.76,55.35,60.27,33.31,50.27,6.96,79.35,cotton,Andhra Pradesh
91.09,59.5,74.25,25.05,52.87,7.08,61.27,cotton,Andhra Pradesh
72.77,51.47,61.26,29.91,58.42,6.15,62.51,cotton,Punjab
91.67,42.29,62.96,26.66,66.28,7.31,84.59,cotton,Andhra Pradesh
94.21,50.34,67.66,25.37,58.82,6.97,86.13,cotton,Gujarat
73.52,45.63,62.54,27.65,52.7,7.11,62.8,cotton,Punjab
89.37,40.66,64.6,30.74,57.85,7.85,92.97,cotton,Gujarat
98.89,40.01,71.92,30.91,59.81,6.11,94.91,cotton,Telangana
73.45,49.51,69.44,31.02,67.48,7.91,75.52,cotton,Andhra Pradesh
84.91,44.79,66.28,31.2,60.95,7.62,76.39,cotton,Maharashtra
77.88,55.65,67.11,27.62,64.14,6.47,79.98,cotton,Andhra Pradesh
84.2,52.76,61.58,30.54,52.37,6.85,84.9,cotton,Andhra Pradesh
70.13,49.77,61.26,28.73,51.44,6.08,97.22,cotton,Punjab
80.75,55.81,71.56,25.79,67.13,7.3,67.78,cotton,Maharashtra
91.22,58.58,62.14,28.81,59.09,7.29,69.2,cotton,Maharashtra
74.99,52.99,76.32,31.69,68.35,7.51,66.12,cotton,Gujarat
72.75,54.55,61.17,26.78,65.09,6.66,82.17,cotton,Maharashtra
85.34,42.33,74.0,30.44,65.02,6.17,89.72,cotton,Maharashtra
96.82,42.48,73.52,30.02,64.04,6.18,67.69,cotton,Andhra Pradesh
97.93,42.94,77.2,33.8,50.66,7.84,83.5,cotton,Punjab
85.58,45.56,63.94,30.6,50.42,7.68,81.41,cotton,Maharashtra
80.85,48.03,61.36,29.69,54.48,7.21,98.22,cotton,Punjab
83.3,45.07,62.08,34.11,51.83,7.87,61.32,cotton,Punjab
82.46,41.41,67.06,27.44,67.44,7.96,99.86,cotton,Punjab
72.84,57.22,79.28,32.9,53.19,6.87,66.52,cotton,Telangana
79.2,44.67,70.51,26.27,65.11,6.26,87.23,cotton,Gujarat
86.83,49.12,74.79,32.28,64.37,6.13,77.39,cotton,Telangana
81.3,45.62,60.52,31.57,70.0,6.78,64.86,cotton,Maharashtra
97.48,45.7,61.99,29.94,64.99,6.14,91.84,cotton,Punjab
96.34,42.62,68.9,31.92,67.67,6.8,67.15,cotton,Telangana
97.79,40.36,69.16,31.71,64.12,7.81,93.59,cotton,Maharashtra
97.11,53.95,63.01,31.7,53.03,7.31,60.91,cotton,Telangana
83.35,50.59,67.77,28.15,58.76,7.67,77.87,cotton,Andhra Pradesh
85.85,40.76,74.15,34.41,52.16,7.07,80.79,cotton,Andhra Pradesh
84.54,51.16,74.55,26.24,69.67,7.5,90.26,cotton,Maharashtra
81.82,54.64,67.03,32.82,61.88,7.37,76.34,cotton,Punjab
89.57,50.13,68.7,30.67,59.61,7.06,66.17,cotton,Andhra Pradesh
98.36,43.67,61.59,33.42,65.68,6.57,99.23,cotton,Gujarat
73.47,46.87,65.2,31.73,55.42,7.67,63.79,cotton,Punjab
88.35,43.38,61.46,33.05,50.63,6.64,97.03,cotton,Gujarat
84.91,41.03,64.84,27.61,62.69,7.45,99.25,cotton,Gujarat
93.09,42.9,73.2,32.51,69.41,7.02,70.64,cotton,Gujarat
74.55,54.76,73.33,27.19,52.68,6.11,97.81,cotton,Telangana
84.28,43.52,65.84,33.23,67.16,7.5,76.11,cotton,Punjab
73.01,59.69,79.55,32.39,50.12,7.24,88.33,cotton,Maharashtra
76.82,58.51,70.94,26.17,63.2,7.51,84.06,cotton,Maharashtra
71.93,43.38,64.58,32.2,51.2,6.39,64.65,cotton,Gujarat
70.91,47.81,64.08,26.23,68.35,7.51,99.87,cotton,Telangana
73.85,46.45,77.75,30.24,61.95,7.39,84.82,cotton,Telangana
86.28,54.64,69.7,28.13,65.31,7.3,83.63,cotton,Telangana
77.36,54.49,70.72,27.17,53.13,6.17,79.76,cotton,Andhra Pradesh
72.37,47.49,70.96,29.91,52.8,6.34,65.85,cotton,Punjab
98.27,45.11,78.98,33.61,54.83,6.95,98.68,cotton,Gujarat
77.55,49.94,68.03,29.15,64.47,6.12,77.26,cotton,Maharashtra
71.3,54.61,78.53,29.25,61.58,6.64,76.63,cotton,Telangana
83.75,57.42,64.61,32.87,51.94,6.88,77.04,cotton,Punjab
71.94,47.19,78.83,30.64,57.28,6.36,68.39,cotton,Punjab
71.29,44.87,75.64,26.51,66.34,7.75,61.95,cotton,Maharashtra
79.98,58.56,62.78,25.92,66.14,6.16,90.72,cotton,Gujarat
85.9,54.89,72.2,27.9,60.1,7.87,82.8,cotton,Maharashtra
99.11,48.93,73.68,26.34,58.04,7.37,72.58,cotton,Punjab
81.07,58.13,77.59,27.24,59.98,6.28,76.33,cotton,Gujarat
97.58,56.55,73.35,28.87,55.05,7.34,98.27,cotton,Maharashtra
94.2,53.65,74.0,32.62,50.65,6.95,88.47,cotton,Telangana
81.82,56.12,77.9,32.75,67.23,6.05,60.17,cotton,Punjab
81.38,45.12,72.79,29.06,63.74,6.64,79.83,cotton,Gujarat
75.66,47.66,70.2,26.54,63.42,7.15,66.03,cotton,Telangana
72.47,55.0,71.59,32.68,55.82,6.58,73.61,cotton,Punjab
98.32,43.23,65.89,32.69,56.33,7.53,95.08,cotton,Punjab
82.83,59.96,63.45,25.49,57.94,6.23,92.93,cotton,Gujarat
77.1,55.34,71.91,26.1,50.49,7.84,69.05,cotton,Punjab
79.63,59.49,73.21,33.61,60.61,6.06,67.29,cotton,Maharashtra
73.05,54.88,74.38,25.9,65.83,6.18,75.27,cotton,Maharashtra
72.32,42.13,65.93,26.58,53.43,7.32,71.2,cotton,Punjab
81.13,48.38,61.03,25.52,54.36,7.28,75.06,cotton,Gujarat
84.32,47.78,68.74,29.99,51.27,7.49,89.16,cotton,Punjab
78.5,52.7,60.21,32.94,55.61,7.83,95.21,cotton,Gujarat
90.57,49.03,75.2,25.58,56.02,6.06,66.03,cotton,Telangana
93.5,50.79,61.48,33.06,64.25,6.11,62.46,cotton,Telangana
90.25,47.51,66.34,30.1,55.95,6.53,86.54,cotton,Punjab
90.1,58.93,73.4,27.62,54.83,6.9,99.68,cotton,Maharashtra
96.72,45.92,68.82,25.4,51.91,7.97,70.38,cotton,Andhra Pradesh
88.0,59.85,61.81,29.81,67.88,7.1,79.3,cotton,Punjab
78.41,48.11,73.92,27.46,67.99,7.54,96.84,cotton,Telangana
90.27,55.75,67.28,31.21,62.49,6.25,65.52,cotton,Maharashtra
78.15,58.13,70.57,28.22,64.34,6.72,92.41,cotton,Gujarat
74.04,59.42,70.81,32.55,59.38,7.27,66.02,cotton,Telangana
78.05,42.51,74.51,28.37,64.16,7.95,85.11,cotton,Punjab
89.08,54.03,64.99,29.06,51.56,7.56,93.01,cotton,Gujarat
93.94,58.49,68.76,32.91,57.24,6.42,60.48,cotton,Telangana
74.21,54.57,66.28,34.77,52.95,7.41,65.4,cotton,Punjab
96.56,54.97,71.83,26.32,58.66,6.61,89.95,cotton,Gujarat
87.49,45.74,61.06,28.33,65.14,7.29,84.86,cotton,Punjab
97.39,53.17,72.66,27.77,65.05,7.17,90.0,cotton,Telangana
87.45,55.16,76.33,26.4,54.97,6.33,67.9,cotton,Andhra Pradesh
83.13,41.47,66.93,25.27,58.23,7.73,79.31,cotton,Telangana
75.43,43.24,76.55,28.66,63.08,7.48,83.91,cotton,Telangana
82.28,47.8,76.13,25.7,55.71,6.55,88.47,cotton,Gujarat
83.86,45.77,70.06,31.35,67.38,7.46,84.7,cotton,Telangana
70.82,58.48,74.53,33.82,50.27,7.36,66.11,cotton,Maharashtra
99.51,55.27,61.5,34.79,56.92,7.4,83.83,cotton,Maharashtra
99.41,46.83,61.21,30.17,59.46,6.73,96.9,cotton,Maharashtra
73.38,46.16,64.1,26.93,64.85,6.0,65.63,cotton,Andhra Pradesh
88.67,51.34,63.03,28.37,58.04,6.17,89.04,cotton,Gujarat
81.12,51.55,77.08,34.11,57.36,6.69,71.0,cotton,Andhra Pradesh
99.42,49.35,64.33,29.71,62.35,7.23,87.98,cotton,Maharashtra
70.8,50.12,72.38,27.04,51.41,6.37,99.03,cotton,Punjab
81.59,45.38,73.51,30.81,56.17,6.55,97.54,cotton,Maharashtra
84.71,48.68,63.41,25.27,65.36,7.1,63.64,cotton,Telangana
71.64,45.55,64.53,29.78,66.76,7.75,64.18,cotton,Punjab
93.36,42.72,71.57,27.2,58.91,7.46,91.74,cotton,Gujarat
71.72,43.23,70.02,33.96,51.86,6.01,81.38,cotton,Gujarat
87.06,41.22,72.64,28.25,62.63,6.2,86.67,cotton,Maharashtra
79.74,52.31,73.53,26.46,51.44,6.89,92.71,cotton,Punjab
88.63,56.16,70.65,26.45,65.72,7.21,88.1,cotton,Andhra Pradesh
80.41,45.13,74.74,34.69,60.2,7.8,82.73,cotton,Andhra Pradesh
84.45,41.13,75.08,33.8,63.12,6.49,87.42,cotton,Maharashtra
70.12,46.15,62.47,28.94,68.94,6.42,67.1,cotton,Punjab
99.8,47.59,78.86,32.71,61.29,7.75,76.58,cotton,Gujarat
81.83,41.31,75.18,33.01,52.21,6.12,80.72,cotton,Andhra Pradesh
80.2,42.43,75.28,27.66,53.27,6.26,64.34,cotton,Maharashtra
95.6,47.24,68.93,34.5,50.83,6.43,84.48,cotton,Maharashtra
83.84,56.35,64.66,34.29,56.75,6.06,97.11,cotton,Telangana
89.99,50.36,77.15,32.11,55.64,6.0,74.99,cotton,Andhra Pradesh
96.18,51.95,65.93,26.14,51.63,7.24,78.74,cotton,Gujarat
78.03,56.6,71.34,26.99,56.77,6.97,67.99,cotton,Gujarat
81.27,58.36,78.38,33.3,50.09,7.32,64.3,cotton,Punjab
98.37,59.12,69.15,25.34,63.33,6.61,90.75,cotton,Maharashtra
99.7,47.08,75.92,29.27,53.34,6.71,64.93,cotton,Andhra Pradesh
72.51,40.78,77.08,30.91,66.51,6.34,86.35,cotton,Andhra Pradesh
91.87,45.02,66.58,27.5,67.8,7.84,90.99,cotton,Telangana
91.57,57.51,75.46,33.48,64.96,7.1,61.33,cotton,Maharashtra
84.86,53.02,66.57,26.21,50.88,7.84,62.9,cotton,Telangana
94.2,47.86,72.08,34.94,51.04,6.86,90.23,cotton,Punjab
96.69,59.27,60.46,25.65,69.93,6.96,95.33,cotton,Andhra Pradesh
91.65,59.8,69.74,31.34,61.73,6.96,67.29,cotton,Punjab
70.6,57.69,68.17,32.45,54.71,7.65,81.19,cotton,Punjab
89.06,44.09,60.62,33.58,56.09,6.06,81.52,cotton,Maharashtra
88.84,41.08,75.26,29.62,66.25,7.75,61.82,cotton,Telangana
92.33,55.17,60.43,28.34,56.32,7.75,64.96,cotton,Maharashtra
82.06,57.62,78.97,26.95,50.05,6.68,84.09,cotton,Andhra Pradesh
70.21,59.36,61.68,33.41,67.12,6.97,62.89,cotton,Gujarat
86.29,50.37,77.35,32.31,57.61,6.74,95.85,cotton,Gujarat
91.19,53.74,70.77,33.03,63.23,6.36,95.01,cotton,Maharashtra
70.61,58.75,60.79,30.12,63.15,7.37,93.36,cotton,Gujarat
88.91,45.16,62.26,29.99,58.63,6.14,71.54,cotton,Andhra Pradesh
95.95,42.74,69.99,27.51,62.16,6.82,73.88,cotton,Andhra Pradesh
98.92,48.78,69.03,33.63,60.19,6.96,62.47,cotton,Gujarat
97.09,40.92,71.16,32.88,62.58,6.6,72.58,cotton,Punjab
92.07,51.67,77.05,32.84,51.19,6.84,67.74,cotton,Andhra Pradesh
85.71,55.87,75.26,33.87,63.01,7.17,79.52,cotton,Maharashtra
83.36,47.82,70.08,34.96,62.03,7.17,98.66,cotton,Gujarat
97.92,42.07,61.64,29.41,58.88,6.49,60.77,cotton,Punjab
89.88,42.02,74.72,29.41,68.58,6.56,69.18,cotton,Gujarat
94.86,56.27,78.7,32.0,66.26,7.46,77.57,cotton,Andhra Pradesh
98.13,41.26,77.4,31.61,69.84,7.33,65.88,cotton,Punjab
70.76,53.62,77.85,27.45,58.19,6.64,63.99,cotton,Andhra Pradesh
90.15,50.27,64.25,25.18,65.7,7.86,97.63,cotton,Punjab
90.73,42.5,62.96,32.65,60.75,7.53,89.57,cotton,Andhra Pradesh
92.75,59.07,60.07,31.5,61.95,6.07,97.7,cotton,Telangana
79.21,53.06,66.5,30.29,60.19,7.58,69.89,cotton,Gujarat
99.87,55.86,67.89,26.92,68.95,6.19,62.97,cotton,Andhra Pradesh
95.37,57.87,69.11,34.06,65.18,6.53,81.16,cotton,Gujarat
84.04,45.65,74.6,26.75,69.62,7.5,72.75,cotton,Gujarat
70.65,54.83,79.89,27.7,68.24,6.56,93.64,cotton,Andhra Pradesh
91.24,52.81,76.15,30.56,68.24,6.93,86.57,cotton,Andhra Pradesh
77.96,59.29,75.37,30.19,61.39,7.16,97.69,cotton,Telangana
88.0,58.56,63.93,29.2,61.26,6.4,90.91,cotton,Maharashtra
95.01,48.49,77.62,33.63,59.02,7.84,63.65,cotton,Gujarat
79.3,40.99,66.16,33.79,65.61,6.99,66.31,cotton,Maharashtra
81.25,51.35,67.63,27.16,52.73,6.8,81.89,cotton,Punjab
83.02,42.42,71.35,32.96,67.97,7.76,66.78,cotton,Andhra Pradesh
80.83,57.26,76.29,25.07,61.15,6.14,60.3,cotton,Punjab
91.87,46.88,65.5,28.15,60.89,7.09,76.74,cotton,Telangana
94.17,54.39,72.83,34.39,53.45,7.46,84.76,cotton,Andhra Pradesh
81.97,54.37,72.85,34.24,55.43,7.42,91.7,cotton,Telangana
88.04,54.84,72.1,30.21,66.48,7.4,70.15,cotton,Gujarat
82.6,54.57,75.83,29.49,52.6,7.25,71.67,cotton,Punjab
97.01,40.14,65.54,34.1,61.35,6.16,83.18,cotton,Andhra Pradesh
85.04,56.2,62.49,28.5,58.27,7.21,66.22,cotton,Gujarat
79.26,48.73,60.18,27.17,54.22,6.3,95.91,cotton,Gujarat
84.34,42.32,73.86,34.43,57.07,6.18,93.77,cotton,Andhra Pradesh
79.81,40.64,66.96,33.53,55.4,7.26,81.19,cotton,Telangana
94.84,46.54,68.1,28.29,64.6,7.25,95.9,cotton,Gujarat
94.73,45.96,71.09,25.17,58.73,7.41,87.79,cotton,Punjab
93.71,51.76,66.94,34.64,69.03,6.55,92.69,cotton,Andhra Pradesh
97.74,41.83,78.13,30.9,63.95,6.75,80.84,cotton,Andhra Pradesh
72.55,52.46,69.85,29.32,57.56,7.79,64.91,cotton,Gujarat
71.04,59.2,73.68,32.39,60.42,7.73,99.91,cotton,Maharashtra
72.92,40.92,77.51,32.85,52.23,6.45,79.83,cotton,Gujarat
73.24,40.68,63.48,26.59,52.44,7.6,69.85,cotton,Punjab
90.05,48.01,61.4,33.43,50.47,7.66,62.88,cotton,Gujarat
79.25,49.28,70.45,25.65,51.8,7.47,88.4,cotton,Maharashtra
75.09,41.45,72.94,25.08,51.47,7.14,81.77,cotton,Telangana
76.0,46.88,74.36,26.6,66.75,6.76,77.59,cotton,Punjab
96.09,46.23,77.87,29.91,50.13,7.17,65.05,cotton,Telangana
96.01,52.04,65.33,25.1,53.48,6.69,96.04,cotton,Andhra Pradesh
74.74,44.68,67.54,31.75,53.99,6.8,98.82,cotton,Maharashtra
85.84,56.72,68.82,31.4,64.65,6.74,90.64,cotton,Andhra Pradesh
72.31,57.76,76.01,29.01,65.32,6.26,62.03,cotton,Andhra Pradesh
91.4,52.31,64.17,29.36,66.69,6.29,83.9,cotton,Punjab
86.97,56.08,77.01,25.88,64.52,6.27,98.21,cotton,Gujarat
92.35,45.04,70.84,32.19,50.89,7.05,80.83,cotton,Andhra Pradesh
98.2,59.69,67.88,26.38,56.28,6.89,71.93,cotton,Gujarat
76.56,41.26,67.12,25.33,52.77,7.62,81.32,cotton,Punjab
98.82,45.63,72.79,31.71,56.64,7.6,60.31,cotton,Maharashtra
72.4,45.42,61.52,33.94,56.74,6.06,66.92,cotton,Andhra Pradesh
86.18,40.22,69.19,32.17,63.16,7.94,98.41,cotton,Maharashtra
89.01,59.96,61.12,27.37,60.84,6.25,62.98,cotton,Andhra Pradesh
89.85,56.3,73.56,28.16,56.64,6.86,68.35,cotton,Punjab
82.27,41.89,71.1,27.3,63.77,7.26,84.13,cotton,Andhra Pradesh
88.46,40.99,72.4,30.21,52.64,7.33,65.51,cotton,Andhra Pradesh
98.18,48.89,64.32,33.33,54.35,7.09,95.24,cotton,Telangana
90.83,47.33,71.22,31.6,62.32,6.83,93.42,cotton,Andhra Pradesh
80.27,55.05,68.13,31.71,67.3,6.65,68.19,cotton,Maharashtra
85.39,56.41,69.61,30.34,67.66,7.54,87.57,cotton,Telangana
89.36,53.51,70.73,33.25,54.54,6.52,76.98,cotton,Punjab
98.17,41.04,60.95,34.55,58.22,7.64,77.89,cotton,Maharashtra
90.87,59.44,70.25,32.15,61.46,6.89,97.76,cotton,Andhra Pradesh
75.93,44.58,74.46,29.8,58.23,7.61,84.86,cotton,Maharashtra
74.7,40.25,76.79,32.96,64.28,7.91,90.21,cotton,Telangana
98.75,49.16,68.96,26.79,54.85,7.36,93.31,cotton,Gujarat
70.1,44.56,67.23,33.91,53.8,6.77,83.33,cotton,Andhra Pradesh
84.89,44.61,72.19,28.95,53.76,7.78,68.42,cotton,Andhra Pradesh
86.66,48.36,60.27,29.29,59.02,7.11,88.77,cotton,Maharashtra
70.18,49.21,63.84,32.71,52.47,7.06,94.71,cotton,Punjab
93.14,47.91,67.63,26.31,63.89,7.7,76.23,cotton,Gujarat
96.45,58.95,79.44,29.0,63.45,7.04,99.23,cotton,Maharashtra
89.78,47.78,60.66,31.97,56.06,7.16,93.83,cotton,Punjab
74.89,45.19,72.28,34.37,61.97,6.26,70.08,cotton,Punjab
87.07,40.96,79.39,32.01,61.49,6.7,99.99,cotton,Andhra Pradesh
91.28,49.89,67.98,34.18,52.21,7.52,65.31,cotton,Gujarat
73.08,43.36,74.44,29.73,69.08,7.43,84.56,cotton,Gujarat
70.82,54.9,75.41,27.14,58.81,7.66,70.24,cotton,Gujarat
84.69,49.51,67.18,34.09,54.82,7.89,93.98,cotton,Gujarat
98.02,50.42,60.5,28.62,55.73,6.57,87.91,cotton,Telangana
98.5,53.98,74.28,27.28,57.54,6.85,89.1,cotton,Telangana
90.95,49.8,73.64,25.15,65.29,7.67,81.79,cotton,Maharashtra
72.38,54.73,79.28,26.7,55.55,7.76,99.59,cotton,Telangana
81.29,58.17,63.53,29.8,53.42,7.17,77.83,cotton,Telangana
94.36,48.76,67.24,29.22,62.08,7.52,92.58,cotton,Gujarat
81.79,45.06,71.87,34.9,64.57,6.71,72.94,cotton,Andhra Pradesh
86.97,40.61,70.6,29.27,66.89,6.23,60.6,cotton,Gujarat
90.23,44.05,63.75,27.4,69.87,7.06,70.3,cotton,Maharashtra
94.07,56.79,74.51,26.44,57.5,7.1,73.28,cotton,Gujarat
92.2,59.85,75.35,27.44,52.02,6.88,73.39,cotton,Punjab
72.55,43.63,63.76,32.31,53.28,7.15,70.74,cotton,Punjab
79.94,51.26,75.38,28.35,68.15,6.85,84.17,cotton,Telangana
88.3,57.34,70.65,28.8,68.04,6.28,92.96,cotton,Telangana
96.19,55.28,66.86,25.8,67.11,7.98,78.71,cotton,Maharashtra
91.28,50.12,78.2,30.0,63.31,6.43,89.47,cotton,Gujarat
97.14,51.64,60.22,32.17,69.8,6.84,66.46,cotton,Andhra Pradesh
83.14,57.0,64.19,25.49,53.58,6.46,93.83,cotton,Maharashtra
83.39,48.88,62.69,25.0,68.08,7.23,78.12,cotton,Gujarat
71.17,59.02,77.79,27.28,69.41,6.06,76.57,cotton,Punjab
73.07,56.44,73.53,33.59,65.1,7.71,66.31,cotton,Telangana
72.5,50.35,74.72,32.09,62.8,6.7,69.57,cotton,Telangana
71.78,44.31,74.46,25.36,54.01,6.33,62.4,cotton,Punjab
72.98,42.23,77.79,30.46,50.7,7.67,65.17,cotton,Telangana
76.59,55.82,74.82,31.89,66.49,7.92,66.82,cotton,Andhra Pradesh
75.86,59.26,67.88,33.32,69.7,7.74,61.2,cotton,Maharashtra
90.53,51.07,67.16,26.04,67.06,7.1,88.21,cotton,Gujarat
93.38,55.15,66.14,25.25,66.45,7.78,67.2,cotton,Gujarat
79.54,59.99,73.46,31.72,59.98,7.98,63.96,cotton,Telangana
92.2,50.72,79.56,29.85,52.78,6.83,64.84,cotton,Punjab
93.64,41.48,67.76,30.46,66.68,6.5,74.35,cotton,Gujarat
97.52,40.5,79.77,25.02,61.25,7.36,99.7,cotton,Andhra Pradesh
79.18,50.23,64.42,31.33,62.09,6.12,85.92,cotton,Punjab
81.12,43.17,66.98,31.72,63.61,7.69,97.96,cotton,Gujarat
83.03,46.62,70.01,25.48,66.85,7.96,85.87,cotton,Maharashtra
74.66,57.61,70.86,27.26,68.72,6.96,80.52,cotton,Gujarat
94.45,59.94,79.89,26.06,56.38,7.02,87.71,cotton,Punjab
96.33,49.2,61.43,28.43,63.86,6.52,76.23,cotton,Andhra Pradesh
92.1,59.66,65.18,27.93,66.64,7.34,84.99,cotton,Gujarat
71.92,57.6,69.06,30.39,51.58,6.67,98.93,cotton,Andhra Pradesh
99.99,55.27,65.23,34.5,56.06,7.5,79.16,cotton,Gujarat
95.09,44.56,71.38,33.73,60.15,6.32,64.78,cotton,Maharashtra
72.06,57.87,72.08,27.84,56.24,7.59,92.06,cotton,Maharashtra
86.21,56.98,70.32,25.99,67.49,7.05,72.01,cotton,Gujarat
84.5,48.67,67.56,34.24,60.55,7.95,79.98,cotton,Gujarat
92.64,41.7,74.62,25.74,67.5,6.51,83.47,cotton,Punjab
71.3,41.98,63.79,25.99,62.01,6.86,69.24,cotton,Andhra Pradesh
83.99,46.5,73.16,28.14,61.48,7.67,69.63,cotton,Telangana
90.81,57.65,70.47,31.6,62.38,6.27,94.59,cotton,Punjab
83.66,43.46,70.67,25.72,60.86,6.29,92.86,cotton,Telangana
79.43,43.74,61.37,34.32,58.76,6.95,90.68,cotton,Gujarat
96.69,50.04,65.84,25.15,66.84,7.67,87.92,cotton,Maharashtra
90.44,55.99,66.57,26.51,69.36,7.24,75.09,cotton,Andhra Pradesh
95.47,44.69,76.77,33.36,59.54,7.19,92.33,cotton,Punjab
78.31,48.07,66.97,31.22,51.67,6.27,83.37,cotton,Telangana
84.92,47.08,66.71,34.25,60.79,6.12,94.16,cotton,Telangana
98.45,49.14,65.03,29.69,57.07,6.56,93.92,cotton,Maharashtra
99.94,45.84,69.52,29.87,55.06,7.64,75.83,cotton,Telangana
97.48,54.07,60.37,32.87,63.46,7.39,61.42,cotton,Telangana
72.23,41.91,78.25,26.22,69.43,7.76,70.2,cotton,Maharashtra
87.98,51.63,63.69,33.14,61.9,6.64,91.59,cotton,Maharashtra
76.5,43.48,75.08,28.34,64.79,6.06,79.59,cotton,Telangana
71.52,57.53,62.47,28.82,65.26,6.6,62.85,cotton,Telangana
98.72,41.44,63.1,33.8,68.39,6.66,97.57,cotton,Telangana
73.37,52.87,66.96,32.21,64.35,6.89,79.48,cotton,Maharashtra
80.72,55.58,69.48,27.26,64.03,6.16,63.52,cotton,Gujarat
92.47,49.91,71.95,33.5,63.98,7.25,89.08,cotton,Telangana
78.06,58.36,74.53,34.77,65.08,7.36,67.41,cotton,Telangana
91.32,42.99,67.66,32.38,64.0,7.02,69.44,cotton,Gujarat
75.27,57.16,79.09,33.68,61.73,7.04,69.07,cotton,Andhra Pradesh
77.32,48.4,65.02,31.7,56.9,7.17,63.55,cotton,Telangana
83.44,44.5,61.74,27.97,69.21,7.68,92.59,cotton,Andhra Pradesh
90.31,46.4,77.34,32.2,65.02,7.38,69.83,cotton,Telangana
75.09,45.07,66.68,34.63,53.76,7.07,84.83,cotton,Maharashtra
81.64,59.02,62.28,31.42,59.45,6.86,77.79,cotton,Punjab
73.64,49.46,74.83,30.38,64.16,7.26,79.48,cotton,Andhra Pradesh
71.13,55.31,79.05,32.47,59.04,6.57,67.63,cotton,Telangana
71.04,42.14,63.99,32.81,55.69,7.08,87.67,cotton,Punjab
95.48,54.21,65.13,32.49,54.89,7.25,79.24,cotton,Telangana
91.01,53.04,62.15,27.04,59.03,7.31,78.96,cotton,Andhra Pradesh
91.05,53.78,72.23,25.3,54.52,6.18,62.03,cotton,Andhra Pradesh
98.08,41.06,61.94,29.64,64.54,7.04,97.87,cotton,Andhra Pradesh
96.44,57.77,74.39,28.51,53.97,6.55,73.4,cotton,Maharashtra
90.27,44.52,74.5,31.65,50.79,7.02,64.49,cotton,Telangana
93.27,42.96,79.16,34.78,62.66,7.31,93.88,cotton,Maharashtra
96.69,54.57,77.25,28.96,69.75,6.99,90.54,cotton,Maharashtra
94.33,54.47,61.43,34.76,66.21,7.53,95.48,cotton,Telangana
90.1,42.4,69.19,33.56,53.34,7.31,84.21,cotton,Telangana
71.43,58.81,74.73,29.03,60.87,7.49,68.57,cotton,Gujarat
87.06,45.06,75.64,25.03,62.94,6.81,72.06,cotton,Telangana
96.29,47.78,60.09,30.74,56.46,7.5,73.74,cotton,Gujarat
73.84,52.9,65.42,33.86,53.87,7.41,60.78,cotton,Telangana
87.17,57.41,72.95,33.59,56.65,7.46,89.2,cotton,Gujarat
