state,crop,N,P,K,ph,rainfall_2025_mm,temp_2025_C,pesticide_2025_kg_ha,yield_2025_t_ha
Mizoram,rice,103.1,35.8,36.19,5.09,1007.41,31.7,1.203,4.027
West Bengal,sugarcane,121.79,72.33,138.41,7.1,1213.5,21.63,1.715,87.019
Odisha,millet,48.62,27.57,22.18,7.46,547.35,29.18,0.267,1.218
Madhya Pradesh,millet,32.38,12.29,16.86,7.09,520.53,26.6,0.216,1.248
Nagaland,groundnut,26.9,22.91,79.46,5.93,928.53,27.7,0.385,2.521
Maharashtra,rice,91.98,35.77,51.93,5.31,1005.28,26.43,1.207,6.104
Karnataka,mango,80.24,44.52,84.08,6.64,976.25,22.59,0.422,24.067
Chhattisgarh,sugarcane,156.5,72.02,80.65,6.03,1517.87,26.95,1.867,68.523
Gujarat,mango,60.5,37.04,72.45,7.19,1182.65,33.05,0.708,11.887
Assam,groundnut,46.6,28.6,49.58,5.54,941.44,32.85,0.648,2.5
Assam,sugarcane,126.27,61.6,122.91,7.24,987.46,28.94,0.987,58.272
Madhya Pradesh,sugarcane,172.31,65,82.76,7.06,1373.87,23.95,2.418,105.476
Madhya Pradesh,millet,39.64,14.3,36.34,6.05,241.8,29.5,0.086,1.007
Assam,coffee,49.11,24.2,59.36,6.18,2816.56,22.52,0.414,1.006
Goa,maize,89.73,29.49,24.15,7.42,660.9,18.31,0.178,4.115
Manipur,banana,208.39,60.62,227.53,6.17,1381.69,31.61,1.528,40.827
Manipur,cotton,97.24,56.35,60.42,7.92,512.34,30.15,1.355,1.218
Uttarakhand,rice,106.36,58.68,39.3,5.73,1573.64,27.01,0.886,4.887
West Bengal,tomato,131.05,42.06,98.98,6.62,680.27,19.92,2.502,64.499
Andhra Pradesh,tea,32.96,39.84,54.32,5.88,1990.94,24.92,0.589,3.169
Nagaland,groundnut,34.9,25.47,63.16,6.2,540.54,20.05,0.238,1.445
West Bengal,soybean,51.64,43.71,31.04,6.81,400.15,21.38,0.55,2.153
Nagaland,cotton,82.8,45.65,74.27,6.34,755.93,34.28,1.578,1.425
Chhattisgarh,groundnut,36.77,23.64,63.7,7.05,597.94,21.24,0.533,2.056
Gujarat,coffee,53.89,36.94,39.48,5.65,3155.92,23.86,0.815,1.169
Arunachal Pradesh,groundnut,35.52,31.51,50.99,5.96,581.55,32.21,0.378,1.647
Tripura,mango,77.35,22.37,66.12,5.63,1086.47,25.01,1.168,15.851
West Bengal,sugarcane,132.64,57.8,95.54,6.93,1177.3,25.77,1.845,80.5
Jharkhand,potato,125.41,64.16,217.31,6.45,990.31,13.76,0.912,30.654
Nagaland,rice,105.03,33.64,39.32,6.63,1532.07,29.39,1.366,6.764
Haryana,mango,78.18,35.76,147.51,5.95,1193.39,31.54,1.187,23.271
West Bengal,tomato,155.96,49.52,129.79,6.48,1584.47,21.64,2.901,35.104
West Bengal,maize,72.49,45.77,46.53,6.66,770.42,26.09,0.627,5.687
Telangana,rice,81.98,50.47,50.14,5.31,1670.7,26.51,0.503,5.598
West Bengal,maize,64.02,31.55,46.89,6.85,472.13,31.46,0.283,2.217
Telangana,groundnut,35.38,36.81,53.54,6.38,441.72,25.45,0.177,1.163
Maharashtra,coffee,40.36,31.03,64.56,6.28,2999.41,19.6,1.057,2.559
Tripura,rice,101.81,55.19,42.11,6.07,1359.6,32.67,0.647,4.034
Maharashtra,maize,79.47,22.18,42.97,6.88,1002.2,28.24,0.662,3.434
Kerala,mango,51.45,21.05,149.38,7.11,1444.88,25.23,0.53,23.328
Chhattisgarh,soybean,58.77,52.58,25.95,6,555.98,21.12,0.489,2.728
Jharkhand,rice,92.69,59.03,55.31,5.29,1418.93,31.91,0.515,5.06
Chhattisgarh,sugarcane,127.29,74.16,121.01,6.53,923.81,26.47,1.175,76.467
Andhra Pradesh,cotton,67.06,50.64,53.77,6.79,528.05,28.95,0.746,1.061
Manipur,wheat,79.5,46.35,29.35,6.78,336.3,11.92,0.49,2.58
Bihar,mango,74.91,53.41,73.39,6.15,1078.82,21.07,0.284,19.253
Assam,tomato,159.12,49.52,151.84,5.84,765.41,22.85,2.629,57.055
Assam,pulses,21.73,40.27,25.44,7.02,757.65,20.72,0.064,1.042
Karnataka,cotton,95.32,55.64,60.24,6.72,727.65,26.68,1.44,1.413
Karnataka,potato,112.84,89.25,172.78,5.86,685.69,23.3,1.618,21.033
Himachal Pradesh,potato,160.55,68.67,103.28,5.37,1190.63,18.35,1.095,33.238
Odisha,cotton,80.69,57.55,57.14,6.87,512.07,32.92,0.893,1.202
Tamil Nadu,rice,72.12,50.1,44.35,5.4,1328.83,27.22,0.46,5.375
Chhattisgarh,sugarcane,170.18,55.26,90.49,6.69,926.68,27.85,2.624,75.196
Tamil Nadu,sugarcane,174.25,71.83,139.99,6.68,1077.26,25.52,2.731,81.404
Andhra Pradesh,mango,82.32,32.32,68.74,5.96,1127.84,33.49,0.571,16.674
Punjab,soybean,36.41,31.49,37.03,6.37,693.45,23.75,0.777,2.606
Punjab,wheat,76.78,41.83,24.99,6.45,494.14,23.05,0.773,3.225
Madhya Pradesh,millet,34.92,26.86,20.01,7.31,574.87,32.29,0.157,1.529
Maharashtra,mango,85.62,49.09,137.06,7.16,1396.18,32.17,1.301,10.582
Maharashtra,sugarcane,120.5,52.56,112.98,6.48,1552.28,26.27,1.893,94.622
Manipur,tomato,153.74,72.12,82.33,5.58,654.46,19.43,3.338,25.997
Gujarat,soybean,22.52,53.61,29.32,6.02,856.25,21.52,0.122,1.5
Sikkim,wheat,82.16,58.2,34.06,6.68,259.38,12.97,0.429,2.861
Meghalaya,pulses,17.84,29.17,39.71,6.13,484.03,19.75,0.066,0.84
Goa,millet,27.76,12.61,22.73,8,611.73,28.91,0.26,1.949
Nagaland,coffee,69.43,20.09,56.4,5.92,1377.35,22.89,1.115,1.208
Tamil Nadu,mango,57.61,55.11,149.7,6.56,1280.4,22.38,0.935,10.434
Mizoram,coffee,68.39,35.03,34.15,6.36,1597.36,23.68,0.527,1.412
Maharashtra,millet,27.45,28.12,14.67,7.14,240.79,35.3,0.079,1.236
Assam,cotton,77.62,45.71,67.31,6.45,498.08,32.58,0.587,1.255
Uttar Pradesh,soybean,39.87,50.99,49.99,6.54,520.42,23.92,0.143,1.205
Gujarat,potato,140.97,93.62,102.52,5.56,1371.23,22.37,0.658,37.047
Uttarakhand,groundnut,42.93,25.77,79.28,6.2,892.82,26.29,0.496,2.812
Himachal Pradesh,cotton,94.75,49.92,47.99,7.97,430.66,31.5,1.4,0.739
Goa,tomato,134.65,54.32,114.28,5.93,780.48,25.55,0.982,66.249
Maharashtra,groundnut,32.96,21.16,41.49,6.62,813.59,26.37,0.411,2.903
Tripura,coffee,31.47,48,65.62,5.72,2828.31,19.61,0.962,1.284
Maharashtra,pulses,35.66,35.39,16.12,7.18,378.53,26.29,0.041,0.555
Mizoram,mango,83.88,54.29,89.78,7.32,1325.31,22.08,0.262,20.082
Tripura,tea,52.33,29.42,48.28,5.01,3336.24,20.08,0.478,4.578
Nagaland,sugarcane,138.73,50.32,94.37,7.35,1095.93,28.04,1.235,89.07
Meghalaya,rice,101.16,58.79,37.45,5.84,1699.17,22.89,0.836,3.337
Uttarakhand,soybean,31.91,40.8,23.79,7.03,749.94,24.54,0.466,1.379
Goa,banana,189.32,51.51,343.66,6.88,1132.8,27.88,1.621,46.86
Maharashtra,pulses,20.82,32.2,10.64,6.06,334.3,28.14,0.049,0.736
Tripura,cotton,63.8,33.18,86.73,6.69,659.44,33.67,1.77,1.272
Tripura,rice,76.08,50.95,37.3,5.28,1356.39,33.88,1.381,3.33
Rajasthan,tomato,129.2,58.92,141.04,6.38,1526.98,29.93,2.17,89.452
Arunachal Pradesh,maize,73.19,23.89,27.08,6.61,793.37,27.78,0.445,4.036
Madhya Pradesh,sugarcane,152.49,72.58,83.96,7.42,1142.87,27.45,2.233,63.224
Haryana,coffee,59.06,23.35,67.11,6.11,2295.81,24.46,0.937,1.762
Nagaland,coffee,39.83,21.93,33.13,6.31,1678.82,24.75,0.99,0.752
Nagaland,cotton,99.78,58.3,45.97,7.3,939.49,32.62,1.001,1.034
Kerala,groundnut,49.38,25.1,49.26,7.28,861.28,25.21,0.501,3.219
Maharashtra,groundnut,25.38,38.35,56.37,5.79,920.12,20.92,0.209,1.814
Punjab,tea,37.7,27.06,52.61,4.69,2467.4,18.82,1.006,2.709
Goa,groundnut,34.57,21.2,57.3,7.15,833.22,32.09,0.237,2.634
Jharkhand,mango,68.78,33.52,69.44,6.55,1053.89,22.02,0.64,13.763
Haryana,groundnut,31.28,26.29,49.39,6.15,498.32,25.4,0.185,1.355
Gujarat,cotton,84.34,51.1,45.8,6.39,939.16,25.21,0.756,2.162
Uttarakhand,cotton,81.17,60,62.03,6.81,839.94,31.92,0.931,2.144
Punjab,maize,78.29,33.8,21.24,6.7,586.26,19.48,0.877,3.269
Karnataka,rice,84.75,30.18,58.45,5.67,1327.03,30.86,1.681,5.619
Bihar,pulses,24.45,25.31,38.9,6.79,377.59,22.21,0.084,0.58
Bihar,wheat,97.18,50.76,25.96,6.67,342.29,11.27,0.53,1.86
Mizoram,coffee,63.03,37.62,56.17,6.26,2703.82,20.86,0.443,1.621
Uttar Pradesh,cotton,94.86,30.9,77.82,7.28,684.3,29.68,1.939,0.912
Tripura,pulses,37.55,42.12,26.14,7.5,422.07,18.91,0.184,1.461
Himachal Pradesh,tea,40.79,38.34,32.76,5.08,1382.76,15.72,1.008,2.514
Haryana,potato,153.34,53.87,161.93,5.59,1034.48,12.52,1.458,32.597
Uttar Pradesh,groundnut,26.53,28.33,62.77,6.08,381.93,33.93,0.76,1.754
Chhattisgarh,pulses,14.4,40.98,20,6.39,319.76,27.57,0.132,0.865
Tripura,potato,113.42,52.17,178.84,5.81,1244.34,17.32,0.606,18.401
West Bengal,pulses,32.62,23.84,16.75,7.72,487.05,22.74,0.122,1.512
Rajasthan,tea,44.5,37.09,59.55,5.17,3606.45,18.83,0.338,2.993
Goa,rice,108.93,58.19,30.53,6.91,1814.62,32.22,0.362,4.564
Tamil Nadu,tea,33.14,28.6,48.41,5.99,3352.56,23.35,0.804,2.623
Assam,millet,40.83,19.46,21.3,6.34,361.64,29.04,0.257,0.662
Tamil Nadu,rice,107.19,49.78,30.71,5.41,725.5,32.88,0.712,5.5
Tripura,coffee,40.41,47.04,50.58,5.76,2055.61,24.03,0.353,2.013
Punjab,banana,213.19,83.4,201.7,5.94,1491.8,30.12,1.662,40.371
Nagaland,tomato,88.18,75.61,149.54,5.79,1482.71,27,3.261,61.341
Maharashtra,potato,176.26,47.32,125.35,6.29,1168.42,21.79,0.358,28.804
Chhattisgarh,rice,105.27,30.75,40.42,5.48,1032.11,24.23,0.559,3.369
Rajasthan,tomato,128.09,46.23,104.77,5.63,890.07,24.32,1.889,51.317
Nagaland,pulses,27.95,41.55,38.78,7.9,747.87,26.39,0.15,2.229
Himachal Pradesh,mango,108,24.81,124.5,5.78,1327.21,22.55,0.694,26.008
Madhya Pradesh,maize,88.06,20.09,46.87,6.46,535.19,24.86,0.657,4.907
Karnataka,banana,222.42,76.44,274.02,6.54,1027.96,23.31,0.917,41.715
Telangana,banana,230.1,92.35,353.51,6.02,2306.29,20.59,1.516,39.164
Punjab,wheat,84.84,46.92,21.22,6.24,313.61,18.26,0.838,3.59
Bihar,tea,46.36,37.9,51.43,5.99,2832.11,23.98,0.527,3.43
Karnataka,cotton,69.73,39.95,77.68,7.41,828.67,27.4,1.709,1.153
Punjab,tea,58.32,23.63,34.12,4.6,1857.49,23.23,0.43,2.057
Andhra Pradesh,millet,23.84,16.89,38.38,7.1,422.76,29.32,0.156,2.178
Karnataka,coffee,63.22,24.7,32.52,6.26,2584.79,27.37,0.451,1.02
Meghalaya,groundnut,28.9,20.9,73.3,5.92,872.38,35.64,0.33,3.075
Arunachal Pradesh,tea,33.83,26.71,54.97,5.27,1640.23,19.07,0.72,2.156
Karnataka,potato,182.76,58.25,166.36,5.12,827.58,19.22,1.746,17.931
Meghalaya,mango,65.7,51.87,63.82,6.04,779.44,25.3,0.517,16.757
Himachal Pradesh,maize,50.07,32.77,24.64,6.58,681.99,25.39,0.402,4.918
Andhra Pradesh,groundnut,40.68,32.81,55.76,5.98,1123.29,31.59,0.419,3.573
Odisha,wheat,97.03,46.53,20.96,7.04,652.12,12.65,0.618,4.313
Meghalaya,soybean,27.32,43.31,34.06,6.2,478.08,30.32,0.198,1.073
Meghalaya,cotton,76.57,41.91,66.74,6.54,725.66,28.5,0.594,1.555
Maharashtra,soybean,33.92,58.09,25.18,6.45,628.84,26.71,0.296,1.945
Telangana,millet,42.59,26.17,28.79,6.59,224.91,34.71,0.165,1.454
Goa,cotton,69.61,42.2,50.57,7.01,915.7,26.32,1.347,1.21
Arunachal Pradesh,tea,55.85,24.87,52.32,5.89,2934.56,16.77,0.546,3.28
Bihar,mango,70.15,48.11,88.98,6.48,1385.13,29.86,0.883,27.933
Punjab,sugarcane,144.39,72.87,109.5,6.08,1063.29,28.96,2.05,69.115
Karnataka,wheat,78.6,57.25,23.39,6.84,322.55,20.1,0.745,2.902
Manipur,groundnut,37.61,31.85,50.74,7.21,642.78,21.58,0.595,1.766
Gujarat,potato,143.33,94.51,152.03,6.23,1345.87,13.72,0.375,49.769
Punjab,pulses,35.33,33.45,29.36,6.78,535.95,29.59,0.054,0.798
Tamil Nadu,maize,86.95,27.72,24.92,6.83,597.93,18.54,0.661,5.037
Kerala,maize,59.84,25.75,46.68,6.24,785.89,28.63,0.155,5.279
Jharkhand,groundnut,40.54,37.46,65.88,6.19,404.6,32.98,0.136,1.067
Chhattisgarh,maize,66.51,40.34,20.52,7.4,743.29,17.68,0.279,6.774
Chhattisgarh,potato,113.8,81.57,158.77,5.34,497.18,11.69,1.52,27.752
Chhattisgarh,cotton,94.17,33.23,69.6,7.54,558.03,34.29,0.912,1.011
Mizoram,coffee,57.24,26.56,67.31,6.46,2294.56,26.22,0.275,1.325
Rajasthan,groundnut,44.02,36.82,71.49,6.19,677.64,30.21,0.377,1.987
Rajasthan,potato,162.06,60.15,121.54,5.47,1664.41,17.56,0.929,41.766
Rajasthan,coffee,50.96,23.58,45.96,6.21,1943.13,23.02,0.359,2.182
Rajasthan,soybean,45.98,47.84,49.82,6.83,503.23,25.18,0.56,1.144
Chhattisgarh,maize,66.05,27.66,24.03,7.11,640.05,29.74,0.732,5.084
Mizoram,banana,203.39,54.1,343.87,6.44,2285.66,26.63,1.408,78.27
Mizoram,pulses,32.56,49.98,38.39,7.63,819.76,29.1,0.241,0.794
Uttar Pradesh,soybean,42.36,31.23,28.72,6.17,841.65,25.67,0.512,3.102
Arunachal Pradesh,banana,209.92,48.59,264.29,5.88,1396.47,22.75,1.521,55.662
Telangana,rice,103,43.03,30.55,5.94,1739.17,23.75,0.381,4.858
Himachal Pradesh,pulses,15.6,25.37,26.9,7.24,633.31,18.92,0.215,1.486
Rajasthan,rice,99.27,43.72,33.62,5.62,1536.4,25.27,0.376,6.091
Goa,tea,49.35,28.4,39.57,5.84,2660.86,16.67,0.414,2.42
Uttarakhand,coffee,59.73,21.84,52.78,5.51,2603.71,25.17,0.941,2.05
Madhya Pradesh,cotton,93.07,57.76,96.38,7.93,775.97,29.29,1.685,1.55
Arunachal Pradesh,tomato,106.66,59.28,154.48,6.07,1101.56,28.43,1.685,68.872
Meghalaya,potato,133.79,74.31,139.26,6.01,1615.83,11.27,1.278,34.265
Telangana,mango,64.97,58.86,131.88,6.96,1119.1,30.43,1.095,23.992
Nagaland,coffee,64.59,44.62,65.46,6.14,1978.78,21.28,0.358,2.099
Karnataka,rice,102.83,39.13,52.22,5.81,1935.73,29.04,0.819,7.278
Jharkhand,potato,120.5,55.7,150.99,6.1,1456.97,13.47,0.9,31.999
Gujarat,tomato,138.05,56.57,100.17,5.84,1614.69,19.93,1.801,87.264
Meghalaya,soybean,49.62,54.02,22.51,6.2,448.57,25.64,0.326,0.847
Uttar Pradesh,tea,38.01,38.54,53.97,5.41,1457.91,19.18,0.449,3.151
Mizoram,maize,64.22,30.99,23.92,5.7,489.38,23.97,0.525,3.923
Punjab,tea,33.88,29.29,33.41,4.63,3648.76,23.87,1.223,2.502
Uttarakhand,sugarcane,176.04,83.5,108.13,6.41,1597.41,29.55,1.269,65.679
Assam,coffee,30.47,42.18,43.17,5.67,3124.27,24.19,0.359,2.285
West Bengal,tomato,105.8,62.05,118.74,6.32,1166.47,30.21,1.212,57.961
Bihar,maize,53.36,36.35,47.53,5.6,450.89,31.48,0.181,2.766
Mizoram,banana,158.78,68.25,388.2,6.97,2099.33,27.99,0.822,63.703
Jharkhand,banana,225.61,42.7,275.61,5.65,1660.87,20.37,1.539,29.862
Goa,groundnut,27.31,21.5,49.15,6.08,590.98,32.41,0.139,1.698
Arunachal Pradesh,banana,181.92,52.03,298.23,6.21,1878.13,21.96,1.646,42.132
Bihar,maize,65.88,37.18,47.84,6.85,666.5,19.83,0.507,3.918
Manipur,cotton,75.29,41.35,83.17,6.82,442.15,28.53,1.365,1.31
Odisha,pulses,26.04,42.46,23.28,7.11,918.05,26.59,0.202,1.41
Bihar,groundnut,46.06,31.54,59.04,6.77,548.92,25.93,0.585,1.339
Arunachal Pradesh,coffee,52.27,25.99,40.01,6.47,1246.81,19.55,0.263,1.47
Gujarat,rice,106.27,40.25,42.72,5.04,968.16,25.68,0.439,2.742
Tripura,millet,28.29,25.52,15.69,7.8,322.77,27.93,0.279,1.852
Goa,sugarcane,172.6,56.93,132.28,7.04,1044.05,27.4,1.29,88.846
Assam,rice,85.04,53.83,32.81,5.28,1529.71,25.44,0.833,3.307
Haryana,millet,29.26,10.31,10.15,7.31,519.2,29.22,0.123,1.623
Odisha,rice,92.84,36.09,33.12,6.22,1166.44,27.45,1.802,2.852
Gujarat,wheat,78.84,57.16,27.51,6.18,480.49,17.92,0.572,1.93
Uttarakhand,cotton,65.61,41.85,95.74,6.02,598.83,29.31,1.79,1.303
Jharkhand,soybean,33.44,50.47,22.32,6.3,892.41,26.41,0.165,1.123
Meghalaya,wheat,76.06,38.19,28.31,7.05,279.55,10.01,0.71,3.095
Goa,banana,208.26,40.51,241.95,6.67,2221.99,29.28,2.141,58.089
Kerala,groundnut,30.61,39.39,69.75,6.49,864.53,33.37,0.351,2.771
West Bengal,millet,20.61,27.55,35.6,7.51,417.9,30.6,0.112,2.36
Sikkim,soybean,34.05,43.9,38.28,7.35,990.76,19.76,0.635,2.876
Tamil Nadu,millet,42.48,26.84,26.81,6.6,396.38,32.19,0.126,0.989
Arunachal Pradesh,millet,24.64,19.09,14.12,7.98,257.02,28.44,0.182,0.844
Haryana,tomato,107.37,41.35,144.64,6.04,874.29,30.8,2.864,48.499
Maharashtra,tomato,105.62,57.35,110.44,6.04,890.58,29.01,0.867,63.142
West Bengal,banana,214.21,58.9,272.88,6.9,1459.73,28.83,1.246,52.555
Gujarat,soybean,53.41,34.06,46.01,6.12,539.14,30.01,0.618,1.838
Uttarakhand,groundnut,30.91,30.45,53.34,7.19,835.22,29.13,0.418,1.616
Tripura,tomato,127.9,51.24,144.8,6.6,660.32,19.18,1.022,37.573
Telangana,rice,83.77,59.25,47.56,6.66,948.85,29.11,0.556,5.539
Nagaland,maize,54.27,41.25,24.33,7.01,751.42,28.43,0.206,2.624
Meghalaya,cotton,67.95,59.55,48.08,7.16,879.58,27.86,0.946,1.676
Uttar Pradesh,mango,50.81,58.84,79.6,7.33,1371.89,24.78,1.21,16.195
Punjab,banana,161.21,60.61,290.59,6.88,1331.1,29.84,1.584,38.141
Madhya Pradesh,banana,223.44,44.32,361.95,5.67,1160.02,31.58,0.732,39.164
West Bengal,millet,49.12,21.03,39,7.87,317.58,30.7,0.118,0.806
Madhya Pradesh,pulses,10.93,30.85,32.77,6.92,606.64,25.28,0.147,1.807
Assam,wheat,75.9,33.74,43.73,7.79,664.41,17.94,0.703,4.943
Arunachal Pradesh,wheat,85.66,31.33,34.74,6.22,514.07,19.29,0.782,2.122
Madhya Pradesh,rice,87.36,32.37,45.19,5.04,1038.74,23.98,1.21,4.6
Tripura,wheat,65.7,41.68,21.13,7.82,510.72,23.94,0.78,4.029
Bihar,coffee,68.17,24.97,56.22,6.41,1783.42,24.82,0.35,0.792
Andhra Pradesh,potato,152.21,81.6,141.76,6.47,927.85,12.05,1.271,40.698
Arunachal Pradesh,soybean,55.46,40.29,49,6.47,773.01,20.35,0.662,1.478
Tripura,potato,166.64,55.66,143.96,6.2,1499.05,21.63,0.669,19.824
Haryana,soybean,49.05,45.17,34.56,7.16,498.87,24.13,0.255,0.951
Himachal Pradesh,mango,112.39,22.56,123.11,7.32,1066.39,24.52,0.991,15.542
Jharkhand,wheat,95.5,42.36,25.41,6.32,600.99,20.84,0.834,4.461
Andhra Pradesh,groundnut,30.15,23.83,54.88,7.04,705.35,25.47,0.23,2.419
Maharashtra,coffee,67.4,22.71,51.89,6.11,2527.32,26.05,0.646,1.321
Sikkim,tea,45.59,39.85,36.52,5.38,2479.64,20.85,0.659,2.303
Mizoram,tea,51.29,36.12,30.83,5.2,2951.96,18.43,0.888,3.09
Punjab,cotton,70.99,30.93,77.09,7.72,947.96,34.55,1.263,1.407
Odisha,maize,56.31,26.77,45.14,6.84,578.28,21.26,0.373,4.719
Tripura,tomato,149.08,44.71,119.27,5.55,698.9,27.01,3.7,32.915
Mizoram,groundnut,28.09,39.73,67.48,5.83,930.25,24.58,0.51,2.161
Manipur,maize,89.96,37.06,21.95,7.28,760.56,19.24,0.559,5.309
Kerala,rice,91.87,40.34,31.16,6.55,857.17,28.85,1.698,3.134
Uttar Pradesh,mango,116.13,21.92,105.52,7.49,841.76,30.79,0.446,19.684
Jharkhand,pulses,21.82,47.94,17.52,7.09,403.71,21.92,0.208,0.436
Mizoram,potato,153.5,69.4,202.64,5.46,1080.26,12.09,0.899,31.566
Telangana,cotton,60.47,56.59,91.25,7.64,370.82,25.53,1.776,0.757
Madhya Pradesh,tomato,99.59,65.76,132.08,5.85,767.56,29.68,2.894,19.304
Andhra Pradesh,banana,182.97,44.66,387.78,6.05,2990.64,30.47,1.709,78.201
Sikkim,maize,63.26,35.49,26.56,7.25,678.66,20.94,0.505,3.251
Andhra Pradesh,pulses,17.51,33.44,29.93,6.49,606.48,21.85,0.116,0.565
Chhattisgarh,cotton,99.01,31.36,45.87,7.87,615.23,35.16,0.645,1.141
Assam,tea,52.97,24.59,42.56,5.69,3365.07,16.49,0.946,4.091
Rajasthan,maize,55.75,48.6,27.29,6.74,698.07,23.52,0.806,4.269
Mizoram,cotton,64.58,54.43,94.37,7.61,840.27,26.23,1.807,1.792
Uttarakhand,cotton,61.48,34.59,70.2,7.63,972.56,27.35,0.892,1.389
Nagaland,coffee,30.61,46.31,47.54,6.13,2345.38,27.61,0.398,2.099
Manipur,tea,57.42,31.61,32.91,5.45,2642.48,18.88,1.023,3.177
Nagaland,rice,90.67,33.11,39.95,5.85,1532.71,31.01,0.546,3.152
Tripura,sugarcane,149.44,52.1,105.15,6.08,1354.65,28.02,1.149,68.31
Punjab,sugarcane,153.75,53.23,111.28,6.28,798.9,21.32,2.316,62.861
Himachal Pradesh,groundnut,45.38,33.46,41.05,5.63,671.62,25.16,0.566,1.445
Tripura,wheat,99.28,45.78,39.21,6.8,425.79,23.07,0.632,2.265
Tripura,coffee,37.09,27.33,54.2,6.33,1407.32,27.09,0.542,1.668
Rajasthan,maize,54.28,23.68,33.29,6.65,566.11,20.19,0.476,4.956
Mizoram,pulses,16.51,20.89,21.21,6.19,386.14,19.2,0.059,1.025
Jharkhand,maize,60.87,34.06,24.22,6.94,899.86,28.2,0.56,6.317
Manipur,groundnut,36.96,32.93,52.67,6.21,638.93,28.93,0.38,1.645
Gujarat,mango,71.21,48.67,97.5,6.74,1182.72,27.01,0.753,20.137
Meghalaya,maize,80.61,46.77,32.77,5.59,471.35,19.46,0.596,4.131
Punjab,groundnut,40.79,28.67,69.19,6.43,527.22,33.03,0.72,1.936
Uttar Pradesh,groundnut,31.54,31.45,55.7,6.99,1025.28,24.13,0.131,1.623
Bihar,pulses,37.88,24.27,21.13,7.5,338.05,23.44,0.256,1.248
Maharashtra,tea,36.19,34.92,36.57,4.98,2393.54,16.7,1.068,3.793
Assam,mango,87.08,44.59,87.42,6.78,1292.46,23.53,0.58,15.254
Uttar Pradesh,rice,108.56,46.42,39.05,6.58,795.44,26.95,0.723,4.276
Telangana,banana,161.43,60.83,308.69,6.56,1453.56,29.3,0.914,41.816
Rajasthan,banana,197.01,74.03,332.91,6.82,1123.29,21.16,1.79,33.343
Kerala,groundnut,49.61,22.3,70.78,5.57,963.46,23.01,0.247,2.97
Tripura,cotton,86.74,41.87,49.05,7.93,904.85,35.24,1.795,1.792
Meghalaya,mango,108.59,36.11,142.29,5.58,883.06,27.08,0.759,18.102
Karnataka,groundnut,47.27,29.12,44.19,7.28,949.81,28.55,0.181,3.102
Gujarat,sugarcane,159.61,55.91,98.48,6.46,1074.12,28.37,1.458,62.698
Odisha,sugarcane,131.36,69.32,132.44,7.14,1061.21,29.69,1.598,54.707
Haryana,wheat,61.53,57.99,34.9,7.34,285.77,12.74,0.391,2.37
Arunachal Pradesh,banana,177.85,78.42,203.08,6.26,2775.38,23.04,0.575,60.289
Uttar Pradesh,coffee,44.69,26.31,66.01,5.75,2017.11,20.48,0.938,2.305
Uttar Pradesh,sugarcane,167.4,89.62,100.43,7.37,1438.33,26.12,2.626,84.922
Nagaland,tea,30.25,37.7,59.25,4.94,1974.53,21.15,0.377,2.106
Gujarat,millet,41.52,25.08,26.43,6.24,330.77,34.97,0.103,1.962
Arunachal Pradesh,tea,56.88,27.92,45.33,4.87,1390.73,15.42,0.598,1.749
Jharkhand,tomato,92.91,72.27,102.85,6.47,1001.88,27.42,0.823,51.46
Manipur,cotton,86.46,50.34,84.32,7.48,1005.18,26.03,0.69,1.607
Nagaland,soybean,24.86,54.78,41.95,7.22,545.5,27.72,0.23,1.412
Karnataka,maize,60.49,43.43,38.53,5.92,829.83,20.3,0.849,6.575
Uttar Pradesh,tea,52.31,35.14,42.3,4.77,4274.03,19.6,0.686,2.86
Telangana,soybean,20.73,34.91,24.21,6.27,706.79,24.48,0.475,2.288
Andhra Pradesh,rice,92.79,41.62,35.38,6.62,1111.58,23.73,1.477,5.058
Mizoram,cotton,93.89,55.45,91.08,7.74,770.82,35.16,1.247,0.832
Rajasthan,maize,67.9,31.79,36.4,6.93,720.86,30.02,0.782,3.438
Chhattisgarh,banana,164.12,83.37,349.89,6.24,1543.67,28.36,0.953,21.747
Maharashtra,tea,56.71,31.26,48.8,5.34,2537.37,15.72,0.804,2.574
Jharkhand,potato,177.57,92.02,107.01,5.84,1548.36,14.92,1.744,27.648
Nagaland,groundnut,40.19,36.87,79.97,7,946.28,28.13,0.491,3.776
Jharkhand,tomato,130.79,49.44,108.71,6.67,966.02,24.54,2.693,42.325
Mizoram,banana,152.04,49.04,233.41,6.96,2540.71,26.11,1.771,73.86
Arunachal Pradesh,rice,108.15,48.29,36.22,5.84,1467.28,33.11,1.735,6.639
Uttar Pradesh,cotton,91.44,57.32,68.49,6.09,611.36,29.47,1.979,0.785
Arunachal Pradesh,tomato,126.75,47.01,104.69,6.6,938.65,29.19,1.716,26.066
Tripura,sugarcane,172.53,51.99,106.56,7.24,1102.38,29.51,2.416,66.981
Andhra Pradesh,maize,50.08,21.39,38.18,6.77,824.96,26.91,0.832,3.291
Sikkim,tomato,90.21,68.91,95.28,5.5,778.68,23.55,1.765,24.22
Mizoram,rice,82.4,37.11,46.06,6.08,1082.13,32.87,0.768,4.679
Gujarat,pulses,30.49,46.58,23.3,7.73,600.66,20.71,0.212,1.359
Chhattisgarh,tea,45.28,29.84,55.98,5.81,2294.05,16.37,0.368,3.237
